run_id,service_date,depot_id,vehicle_id,assigned_charger_id,timestamp,settlement_date,settlement_period,scheduled_charge_kwh,actual_charge_kwh,actual_charge_kw,meter_quality_flag,actuals_scenario,disruption_type,notes
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-001,DEPOT_A-CHG-01,2026-05-10 02:00:00+01:00,2026-05-10,5,75.0,13.832700422852561,27.665400845705122,ok,high_deviation,charger_derating,Synthetic charger derating reduced metered charging.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-001,DEPOT_A-CHG-01,2026-05-10 02:30:00+01:00,2026-05-10,6,32.66080000000005,37.559920000000055,75.11984000000011,ok,high_deviation,charger_derating,Synthetic charger derating reduced metered charging.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-001,DEPOT_A-CHG-01,2026-05-10 06:00:00+01:00,2026-05-10,13,75.0,55.50129919865768,111.00259839731535,ok,high_deviation,charger_derating,Synthetic charger derating reduced metered charging.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-002,DEPOT_A-CHG-02,2026-05-10 00:00:00+01:00,2026-05-10,1,50.0,13.132424257946262,26.264848515892524,ok,high_deviation,late_arrival_shift,Synthetic late arrival shifted charging later.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-002,DEPOT_A-CHG-02,2026-05-10 04:00:00+01:00,2026-05-10,9,14.070000000000022,16.180500000000023,32.36100000000005,ok,high_deviation,late_arrival_shift,Synthetic late arrival shifted charging later.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-002,DEPOT_A-CHG-02,2026-05-10 05:00:00+01:00,2026-05-10,11,50.0,51.236372593892845,102.47274518778569,ok,high_deviation,none,Synthetic actual follows optimized schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-003,DEPOT_A-CHG-03,2026-05-10 01:30:00+01:00,2026-05-10,4,26.450000000000045,26.74726739405511,53.49453478811022,ok,high_deviation,none,Synthetic actual follows optimized schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-003,DEPOT_A-CHG-03,2026-05-10 02:30:00+01:00,2026-05-10,6,75.0,,,missing,high_deviation,missing_meter_data,Synthetic missing meter interval.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-003,DEPOT_A-CHG-03,2026-05-10 05:00:00+01:00,2026-05-10,11,75.0,76.03594792819865,152.0718958563973,ok,high_deviation,none,Synthetic actual follows optimized schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-003,DEPOT_A-CHG-03,2026-05-10 06:00:00+01:00,2026-05-10,13,75.0,,,missing,high_deviation,missing_meter_data,Synthetic missing meter interval.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-004,DEPOT_A-CHG-04,2026-05-09 20:30:00+01:00,2026-05-09,42,10.658600000000163,1.975743097148352,3.951486194296704,ok,high_deviation,charger_derating,Synthetic charger derating reduced metered charging.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-004,DEPOT_A-CHG-04,2026-05-10 01:00:00+01:00,2026-05-10,3,75.0,,,missing,high_deviation,missing_meter_data,Synthetic missing meter interval.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-004,DEPOT_A-CHG-04,2026-05-10 02:00:00+01:00,2026-05-10,5,75.0,51.86369757448353,103.72739514896706,ok,high_deviation,charger_derating,Synthetic charger derating reduced metered charging.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-004,DEPOT_A-CHG-04,2026-05-10 03:30:00+01:00,2026-05-10,8,75.0,52.99933596448482,105.99867192896964,ok,high_deviation,charger_derating,Synthetic charger derating reduced metered charging.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-004,DEPOT_A-CHG-04,2026-05-10 04:00:00+01:00,2026-05-10,9,75.0,52.43382295240878,104.86764590481756,ok,high_deviation,charger_derating,Synthetic charger derating reduced metered charging.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-004,DEPOT_A-CHG-04,2026-05-10 04:30:00+01:00,2026-05-10,10,12.120999999999796,8.660586289313946,17.32117257862789,ok,high_deviation,charger_derating,Synthetic charger derating reduced metered charging.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-005,DEPOT_A-CHG-05,2026-05-09 20:30:00+01:00,2026-05-09,42,75.0,75.28581206740752,150.57162413481504,ok,high_deviation,none,Synthetic actual follows optimized schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-005,DEPOT_A-CHG-05,2026-05-10 01:00:00+01:00,2026-05-10,3,18.00720000000007,18.494797675215054,36.98959535043011,ok,high_deviation,none,Synthetic actual follows optimized schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-005,DEPOT_A-CHG-05,2026-05-10 01:30:00+01:00,2026-05-10,4,75.0,77.10931551436168,154.21863102872337,ok,high_deviation,none,Synthetic actual follows optimized schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-005,DEPOT_A-CHG-05,2026-05-10 05:00:00+01:00,2026-05-10,11,33.248099999999965,34.34559343594236,68.69118687188472,ok,high_deviation,none,Synthetic actual follows optimized schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-006,DEPOT_A-CHG-06,2026-05-10 00:30:00+01:00,2026-05-10,2,50.0,53.5737422689996,107.1474845379992,ok,high_deviation,none,Synthetic actual follows optimized schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-006,DEPOT_A-CHG-06,2026-05-10 03:00:00+01:00,2026-05-10,7,50.0,47.37593730154207,94.75187460308415,ok,high_deviation,none,Synthetic actual follows optimized schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-006,DEPOT_A-CHG-06,2026-05-10 05:00:00+01:00,2026-05-10,11,46.05930000000001,47.47380216713566,94.94760433427132,ok,high_deviation,none,Synthetic actual follows optimized schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-006,DEPOT_A-CHG-06,2026-05-10 06:00:00+01:00,2026-05-10,13,50.0,48.039871367315165,96.07974273463033,ok,high_deviation,none,Synthetic actual follows optimized schedule.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-007,DEPOT_A-CHG-07,2026-05-10 00:30:00+01:00,2026-05-10,2,6.401499999999999,4.626957913429275,9.25391582685855,ok,high_deviation,charger_derating,Synthetic charger derating reduced metered charging.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-007,DEPOT_A-CHG-07,2026-05-10 01:00:00+01:00,2026-05-10,3,75.0,,,missing,high_deviation,missing_meter_data,Synthetic missing meter interval.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-007,DEPOT_A-CHG-07,2026-05-10 02:00:00+01:00,2026-05-10,5,75.0,51.55422735154561,103.10845470309123,ok,high_deviation,charger_derating,Synthetic charger derating reduced metered charging.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-007,DEPOT_A-CHG-07,2026-05-10 03:00:00+01:00,2026-05-10,7,75.0,50.17729104604091,100.35458209208181,ok,high_deviation,charger_derating,Synthetic charger derating reduced metered charging.
