timestamp,settlement_date,settlement_period,price_gbp_per_mwh,source,market,price_type,currency,unit,ingestion_timestamp,data_quality_flag,notes
2026-05-09 00:00:00+01:00,2026-05-09,1,50.63,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 00:30:00+01:00,2026-05-09,2,49.58,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 01:00:00+01:00,2026-05-09,3,59.51,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 01:30:00+01:00,2026-05-09,4,48.07,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 02:00:00+01:00,2026-05-09,5,36.5,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 02:30:00+01:00,2026-05-09,6,48.28,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 03:00:00+01:00,2026-05-09,7,53.04,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 03:30:00+01:00,2026-05-09,8,59.23,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 04:00:00+01:00,2026-05-09,9,65.25,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 04:30:00+01:00,2026-05-09,10,36.17,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 05:00:00+01:00,2026-05-09,11,43.22,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 05:30:00+01:00,2026-05-09,12,76.57,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 06:00:00+01:00,2026-05-09,13,86.05,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 06:30:00+01:00,2026-05-09,14,76.37,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 07:00:00+01:00,2026-05-09,15,88.13,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 07:30:00+01:00,2026-05-09,16,91.59,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 08:00:00+01:00,2026-05-09,17,82.74,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 08:30:00+01:00,2026-05-09,18,87.96,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 09:00:00+01:00,2026-05-09,19,97.11,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 09:30:00+01:00,2026-05-09,20,77.27,sample_epex_csv,day_ahead,auction_clearing,GBP,MWh,2026-05-09T19:56:49.549554+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
