timestamp,settlement_date,settlement_period,price_gbp_per_mwh,source,market,price_type,currency,unit,ingestion_timestamp,data_quality_flag,notes
2026-05-09 00:00:00+01:00,2026-05-09,1,40.42,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 00:30:00+01:00,2026-05-09,2,53.45,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 01:00:00+01:00,2026-05-09,3,57.87,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 01:30:00+01:00,2026-05-09,4,55.74,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 02:00:00+01:00,2026-05-09,5,42.19,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 02:30:00+01:00,2026-05-09,6,60.48,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 03:00:00+01:00,2026-05-09,7,57.15,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 03:30:00+01:00,2026-05-09,8,57.18,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 04:00:00+01:00,2026-05-09,9,57.55,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 04:30:00+01:00,2026-05-09,10,60.78,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 05:00:00+01:00,2026-05-09,11,71.03,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 05:30:00+01:00,2026-05-09,12,76.5,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 06:00:00+01:00,2026-05-09,13,82.42,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 06:30:00+01:00,2026-05-09,14,97.79,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 07:00:00+01:00,2026-05-09,15,86.36,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 07:30:00+01:00,2026-05-09,16,101.33,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 08:00:00+01:00,2026-05-09,17,92.2,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 08:30:00+01:00,2026-05-09,18,98.22,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 09:00:00+01:00,2026-05-09,19,102.67,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 09:30:00+01:00,2026-05-09,20,64.62,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 10:00:00+01:00,2026-05-09,21,73.07,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 10:30:00+01:00,2026-05-09,22,69.35,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 11:00:00+01:00,2026-05-09,23,79.92,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 11:30:00+01:00,2026-05-09,24,75.8,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 12:00:00+01:00,2026-05-09,25,95.64,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 12:30:00+01:00,2026-05-09,26,76.57,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 13:00:00+01:00,2026-05-09,27,97.42,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 13:30:00+01:00,2026-05-09,28,78.34,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 14:00:00+01:00,2026-05-09,29,84.44,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 14:30:00+01:00,2026-05-09,30,82.36,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 15:00:00+01:00,2026-05-09,31,82.1,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 15:30:00+01:00,2026-05-09,32,71.86,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 16:00:00+01:00,2026-05-09,33,85.01,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 16:30:00+01:00,2026-05-09,34,122.36,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 17:00:00+01:00,2026-05-09,35,121.04,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 17:30:00+01:00,2026-05-09,36,124.49,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 18:00:00+01:00,2026-05-09,37,111.53,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 18:30:00+01:00,2026-05-09,38,116.22,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 19:00:00+01:00,2026-05-09,39,112.95,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 19:30:00+01:00,2026-05-09,40,103.56,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 20:00:00+01:00,2026-05-09,41,85.31,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
2026-05-09 20:30:00+01:00,2026-05-09,42,76.28,synthetic,synthetic_day_ahead,synthetic,GBP,MWh,2026-08-24T07:48:44.384563+00:00,ok,synthetic scenario: base
