run_id,service_date,depot_id,timestamp,settlement_date,settlement_period,scheduled_mwh,actual_mwh,deviation_mwh,deviation_pct,abs_deviation_mwh,scheduled_kw,actual_kw,meter_quality_flag,reconciliation_status,exception_flag,notes
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-09 20:30:00+01:00,2026-05-09,42,0.11529860000000015,0.11450153890109982,-0.000797061098900334,-0.006913016280339336,0.000797061098900334,230.5972000000003,229.00307780219964,ok,minor_deviation,False,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 00:00:00+01:00,2026-05-10,1,0.375,0.3754403264594679,0.00044032645946789906,0.0011742038919143976,0.00044032645946789906,750.0,750.8806529189358,ok,minor_deviation,False,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 00:30:00+01:00,2026-05-10,2,0.375,0.37382243320330183,-0.0011775667966981707,-0.0031401781245284552,0.0011775667966981707,750.0,747.6448664066037,ok,minor_deviation,False,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 01:00:00+01:00,2026-05-10,3,0.375,0.3686200380747959,-0.006379961925204125,-0.017013231800544332,0.006379961925204125,750.0,737.2400761495918,ok,minor_deviation,False,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 01:30:00+01:00,2026-05-10,4,0.375,0.3730179921174904,-0.0019820078825095733,-0.005285354353358862,0.0019820078825095733,750.0,746.0359842349809,ok,minor_deviation,False,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 02:00:00+01:00,2026-05-10,5,0.375,0.372777793790034,-0.0022222062099659934,-0.005925883226575983,0.0022222062099659934,750.0,745.555587580068,ok,minor_deviation,False,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 02:30:00+01:00,2026-05-10,6,0.375,0.375424812138652,0.0004248121386519754,0.0011328323697386011,0.0004248121386519754,750.0,750.849624277304,ok,minor_deviation,False,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 03:00:00+01:00,2026-05-10,7,0.375,0.37572742568230605,0.0007274256823060488,0.0019398018194827966,0.0007274256823060488,750.0,751.4548513646121,ok,minor_deviation,False,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 03:30:00+01:00,2026-05-10,8,0.375,0.375234313525048,0.00023431352504799108,0.0006248360667946429,0.00023431352504799108,750.0,750.468627050096,ok,minor_deviation,False,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 04:00:00+01:00,2026-05-10,9,0.375,0.3757272278005314,0.0007272278005314159,0.0019392741347504423,0.0007272278005314159,750.0,751.4544556010628,ok,minor_deviation,False,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 04:30:00+01:00,2026-05-10,10,0.375,0.3741563759306389,-0.0008436240693611152,-0.002249664184962974,0.0008436240693611152,750.0,748.3127518612778,ok,minor_deviation,False,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 05:00:00+01:00,2026-05-10,11,0.375,0.3760754958784843,0.0010754958784843227,0.0028679890092915272,0.0010754958784843227,750.0,752.1509917569687,ok,minor_deviation,False,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 06:00:00+01:00,2026-05-10,13,0.325,0.32644020418116737,0.0014402041811673594,0.004431397480514952,0.0014402041811673594,650.0,652.8804083623347,ok,minor_deviation,False,Scheduled-vs-actual reconciliation.
