run_id,service_date,depot_id,timestamp,settlement_date,settlement_period,scheduled_mwh,actual_mwh,deviation_mwh,deviation_pct,abs_deviation_mwh,scheduled_kw,actual_kw,meter_quality_flag,reconciliation_status,exception_flag,notes
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-09 20:30:00+01:00,2026-05-09,42,0.11529860000000015,0.0960431026368547,-0.019255497363145455,-0.16700547416139858,0.019255497363145455,230.5972000000003,192.0862052737094,ok,material_deviation,True,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 00:00:00+01:00,2026-05-10,1,0.375,0.2875327908570422,-0.0874672091429578,-0.23324589104788748,0.0874672091429578,750.0,575.0655817140844,ok,material_deviation,True,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 00:30:00+01:00,2026-05-10,2,0.375,0.32150813057557526,-0.05349186942442474,-0.14264498513179932,0.05349186942442474,750.0,643.0162611511505,ok,material_deviation,True,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 01:00:00+01:00,2026-05-10,3,0.375,,,,,750.0,,missing,missing_actual,True,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 01:30:00+01:00,2026-05-10,4,0.375,0.37571954666770385,0.000719546667703852,0.0019187911138769387,0.000719546667703852,750.0,751.4390933354077,ok,minor_deviation,False,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 02:00:00+01:00,2026-05-10,5,0.375,0.274090628296975,-0.100909371703025,-0.2690916578747333,0.100909371703025,750.0,548.18125659395,ok,material_deviation,True,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 02:30:00+01:00,2026-05-10,6,0.375,,,,,750.0,,missing,missing_actual,True,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 03:00:00+01:00,2026-05-10,7,0.375,,,,,750.0,,missing,missing_actual,True,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 03:30:00+01:00,2026-05-10,8,0.375,0.32902855800978503,-0.04597144199021497,-0.12259051197390658,0.04597144199021497,750.0,658.0571160195701,ok,material_deviation,True,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 04:00:00+01:00,2026-05-10,9,0.375,0.3355865163473159,-0.0394134836526841,-0.10510262307382427,0.0394134836526841,750.0,671.1730326946318,ok,material_deviation,True,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 04:30:00+01:00,2026-05-10,10,0.375,0.35399303817562217,-0.021006961824377834,-0.05601856486500756,0.021006961824377834,750.0,707.9860763512444,ok,minor_deviation,False,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 05:00:00+01:00,2026-05-10,11,0.375,0.37010440951060564,-0.004895590489394364,-0.013054907971718302,0.004895590489394364,750.0,740.2088190212113,ok,minor_deviation,False,Scheduled-vs-actual reconciliation.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 06:00:00+01:00,2026-05-10,13,0.325,,,,,650.0,,missing,missing_actual,True,Scheduled-vs-actual reconciliation.
