run_id,service_date,depot_id,vehicle_id,assigned_charger_id,timestamp,settlement_date,settlement_period,interval_hours,charge_kw,charge_kwh,cumulative_charge_kwh,required_kwh,remaining_kwh_after_interval,baseline_strategy,feasibility_flag,notes
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-001,DEPOT_A-CHG-01,2026-05-09 21:00:00+01:00,2026-05-09,43,0.5,150.0,75.0,75.0,182.6608,107.6608,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-001,DEPOT_A-CHG-01,2026-05-09 21:30:00+01:00,2026-05-09,44,0.5,150.0,75.0,150.0,182.6608,32.6608,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-001,DEPOT_A-CHG-01,2026-05-09 22:00:00+01:00,2026-05-09,45,0.5,65.3216,32.6608,182.6608,182.6608,0.0,immediate_charge,feasible,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-002,DEPOT_A-CHG-02,2026-05-09 21:00:00+01:00,2026-05-09,43,0.5,100.0,50.0,50.0,114.07,64.07,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-002,DEPOT_A-CHG-02,2026-05-09 21:30:00+01:00,2026-05-09,44,0.5,100.0,50.0,100.0,114.07,14.07,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-002,DEPOT_A-CHG-02,2026-05-09 22:00:00+01:00,2026-05-09,45,0.5,28.14,14.07,114.07,114.07,0.0,immediate_charge,feasible,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-003,DEPOT_A-CHG-03,2026-05-09 18:30:00+01:00,2026-05-09,38,0.5,150.0,75.0,75.0,251.45,176.45,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-003,DEPOT_A-CHG-03,2026-05-09 19:00:00+01:00,2026-05-09,39,0.5,150.0,75.0,150.0,251.45,101.45,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-003,DEPOT_A-CHG-03,2026-05-09 19:30:00+01:00,2026-05-09,40,0.5,150.0,75.0,225.0,251.45,26.45,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-003,DEPOT_A-CHG-03,2026-05-09 20:00:00+01:00,2026-05-09,41,0.5,52.9,26.45,251.45,251.45,0.0,immediate_charge,feasible,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-004,DEPOT_A-CHG-04,2026-05-09 19:30:00+01:00,2026-05-09,40,0.5,150.0,75.0,75.0,322.7796,247.7796,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-004,DEPOT_A-CHG-04,2026-05-09 20:00:00+01:00,2026-05-09,41,0.5,150.0,75.0,150.0,322.7796,172.7796,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-004,DEPOT_A-CHG-04,2026-05-09 20:30:00+01:00,2026-05-09,42,0.5,150.0,75.0,225.0,322.7796,97.7796,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-004,DEPOT_A-CHG-04,2026-05-09 21:00:00+01:00,2026-05-09,43,0.5,150.0,75.0,300.0,322.7796,22.7796,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-004,DEPOT_A-CHG-04,2026-05-09 21:30:00+01:00,2026-05-09,44,0.5,45.5592,22.7796,322.7796,322.7796,0.0,immediate_charge,feasible,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-005,DEPOT_A-CHG-05,2026-05-09 20:30:00+01:00,2026-05-09,42,0.5,150.0,75.0,75.0,201.2553,126.2553,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-005,DEPOT_A-CHG-05,2026-05-09 21:00:00+01:00,2026-05-09,43,0.5,150.0,75.0,150.0,201.2553,51.2553,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-005,DEPOT_A-CHG-05,2026-05-09 21:30:00+01:00,2026-05-09,44,0.5,102.5106,51.2553,201.2553,201.2553,0.0,immediate_charge,feasible,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-006,DEPOT_A-CHG-06,2026-05-09 23:30:00+01:00,2026-05-09,48,0.5,100.0,50.0,50.0,196.0593,146.0593,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-006,DEPOT_A-CHG-06,2026-05-10 00:00:00+01:00,2026-05-10,1,0.5,100.0,50.0,100.0,196.0593,96.0593,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-006,DEPOT_A-CHG-06,2026-05-10 00:30:00+01:00,2026-05-10,2,0.5,100.0,50.0,150.0,196.0593,46.0593,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-006,DEPOT_A-CHG-06,2026-05-10 01:00:00+01:00,2026-05-10,3,0.5,92.1186,46.0593,196.0593,196.0593,0.0,immediate_charge,feasible,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-007,DEPOT_A-CHG-07,2026-05-09 19:00:00+01:00,2026-05-09,39,0.5,150.0,75.0,75.0,356.4015,281.4015,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-007,DEPOT_A-CHG-07,2026-05-09 19:30:00+01:00,2026-05-09,40,0.5,150.0,75.0,150.0,356.4015,206.4015,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-007,DEPOT_A-CHG-07,2026-05-09 20:00:00+01:00,2026-05-09,41,0.5,150.0,75.0,225.0,356.4015,131.4015,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-007,DEPOT_A-CHG-07,2026-05-09 20:30:00+01:00,2026-05-09,42,0.5,150.0,75.0,300.0,356.4015,56.4015,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-007,DEPOT_A-CHG-07,2026-05-09 21:00:00+01:00,2026-05-09,43,0.5,112.803,56.4015,356.4015,356.4015,0.0,immediate_charge,feasible,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-008,DEPOT_A-CHG-08,2026-05-09 22:00:00+01:00,2026-05-09,45,0.5,100.0,50.0,50.0,246.8598,196.8598,immediate_charge,in_progress,Immediate-charge baseline interval.
phase3_baseline_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-008,DEPOT_A-CHG-08,2026-05-09 22:30:00+01:00,2026-05-09,46,0.5,100.0,50.0,100.0,246.8598,146.8598,immediate_charge,in_progress,Immediate-charge baseline interval.
