run_id,service_date,depot_id,vehicle_id,assigned_charger_id,timestamp,settlement_date,settlement_period,interval_hours,charge_kw,charge_kwh,cumulative_charge_kwh,required_kwh,remaining_kwh_after_interval,optimized_strategy,price_gbp_per_mwh,market,source,price_type,data_quality_flag,interval_cost_gbp,feasibility_flag,unmet_kwh,notes
phase4_optimization_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-001,DEPOT_A-CHG-01,2026-05-10 00:30:00+01:00,2026-05-10,2,0.5,150.0,75.0,75.0,182.66080000000005,107.66080000000005,price_optimized,42.37,synthetic_day_ahead,synthetic,synthetic,ok,3.1777499999999996,feasible,0.0,Price-optimized charging interval.
phase4_optimization_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-001,DEPOT_A-CHG-01,2026-05-10 03:00:00+01:00,2026-05-10,7,0.5,150.0,75.0,150.0,182.66080000000005,32.66080000000005,price_optimized,41.98,synthetic_day_ahead,synthetic,synthetic,ok,3.1485,feasible,0.0,Price-optimized charging interval.
phase4_optimization_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-001,DEPOT_A-CHG-01,2026-05-10 03:30:00+01:00,2026-05-10,8,0.5,65.3216000000001,32.66080000000005,182.66080000000005,182.66080000000005,0.0,price_optimized,43.84,synthetic_day_ahead,synthetic,synthetic,ok,1.4318494720000023,feasible,0.0,Price-optimized charging interval.
phase4_optimization_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-002,DEPOT_A-CHG-02,2026-05-10 00:30:00+01:00,2026-05-10,2,0.5,100.0,50.0,50.0,114.07000000000002,64.07000000000002,price_optimized,42.37,synthetic_day_ahead,synthetic,synthetic,ok,2.1185,feasible,0.0,Price-optimized charging interval.
phase4_optimization_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-002,DEPOT_A-CHG-02,2026-05-10 03:00:00+01:00,2026-05-10,7,0.5,100.0,50.0,100.0,114.07000000000002,14.070000000000022,price_optimized,41.98,synthetic_day_ahead,synthetic,synthetic,ok,2.0989999999999998,feasible,0.0,Price-optimized charging interval.
phase4_optimization_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-002,DEPOT_A-CHG-02,2026-05-10 03:30:00+01:00,2026-05-10,8,0.5,28.140000000000043,14.070000000000022,114.07000000000002,114.07000000000002,0.0,price_optimized,43.84,synthetic_day_ahead,synthetic,synthetic,ok,0.616828800000001,feasible,0.0,Price-optimized charging interval.
phase4_optimization_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-003,DEPOT_A-CHG-03,2026-05-10 00:30:00+01:00,2026-05-10,2,0.5,150.0,75.0,75.0,251.45000000000005,176.45000000000005,price_optimized,42.37,synthetic_day_ahead,synthetic,synthetic,ok,3.1777499999999996,feasible,0.0,Price-optimized charging interval.
phase4_optimization_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-003,DEPOT_A-CHG-03,2026-05-10 02:30:00+01:00,2026-05-10,6,0.5,52.90000000000009,26.450000000000045,101.45000000000005,251.45000000000005,150.0,price_optimized,44.43,synthetic_day_ahead,synthetic,synthetic,ok,1.175173500000002,feasible,0.0,Price-optimized charging interval.
phase4_optimization_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-003,DEPOT_A-CHG-03,2026-05-10 03:00:00+01:00,2026-05-10,7,0.5,150.0,75.0,176.45000000000005,251.45000000000005,75.0,price_optimized,41.98,synthetic_day_ahead,synthetic,synthetic,ok,3.1485,feasible,0.0,Price-optimized charging interval.
phase4_optimization_sample,2026-05-09,DEPOT_A,DEPOT_A-EV-003,DEPOT_A-CHG-03,2026-05-10 03:30:00+01:00,2026-05-10,8,0.5,150.0,75.0,251.45000000000005,251.45000000000005,0.0,price_optimized,43.84,synthetic_day_ahead,synthetic,synthetic,ok,3.2880000000000003,feasible,0.0,Price-optimized charging interval.
