timestamp,settlement_date,settlement_period,price_gbp_per_mwh,source,market,price_type,currency,unit,ingestion_timestamp,data_quality_flag,notes
2026-05-09 00:00:00+01:00,2026-05-09,1,47.76,sample_epex_csv,intraday,auction_clearing,GBP,MWh,2026-06-15T12:56:45.818521+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 00:30:00+01:00,2026-05-09,2,42.98,sample_epex_csv,intraday,auction_clearing,GBP,MWh,2026-06-15T12:56:45.818521+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 01:00:00+01:00,2026-05-09,3,51.66,sample_epex_csv,intraday,auction_clearing,GBP,MWh,2026-06-15T12:56:45.818521+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 01:30:00+01:00,2026-05-09,4,44.58,sample_epex_csv,intraday,auction_clearing,GBP,MWh,2026-06-15T12:56:45.818521+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 02:00:00+01:00,2026-05-09,5,51.95,sample_epex_csv,intraday,auction_clearing,GBP,MWh,2026-06-15T12:56:45.818521+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 02:30:00+01:00,2026-05-09,6,72.48,sample_epex_csv,intraday,auction_clearing,GBP,MWh,2026-06-15T12:56:45.818521+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 03:00:00+01:00,2026-05-09,7,54.49,sample_epex_csv,intraday,auction_clearing,GBP,MWh,2026-06-15T12:56:45.818521+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 03:30:00+01:00,2026-05-09,8,57.46,sample_epex_csv,intraday,auction_clearing,GBP,MWh,2026-06-15T12:56:45.818521+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 04:00:00+01:00,2026-05-09,9,43.38,sample_epex_csv,intraday,auction_clearing,GBP,MWh,2026-06-15T12:56:45.818521+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 04:30:00+01:00,2026-05-09,10,42.37,sample_epex_csv,intraday,auction_clearing,GBP,MWh,2026-06-15T12:56:45.818521+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 05:00:00+01:00,2026-05-09,11,57.64,sample_epex_csv,intraday,auction_clearing,GBP,MWh,2026-06-15T12:56:45.818521+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 05:30:00+01:00,2026-05-09,12,72.86,sample_epex_csv,intraday,auction_clearing,GBP,MWh,2026-06-15T12:56:45.818521+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 06:00:00+01:00,2026-05-09,13,73.11,sample_epex_csv,intraday,auction_clearing,GBP,MWh,2026-06-15T12:56:45.818521+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 06:30:00+01:00,2026-05-09,14,85.24,sample_epex_csv,intraday,auction_clearing,GBP,MWh,2026-06-15T12:56:45.818521+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 07:00:00+01:00,2026-05-09,15,93.63,sample_epex_csv,intraday,auction_clearing,GBP,MWh,2026-06-15T12:56:45.818521+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
2026-05-09 07:30:00+01:00,2026-05-09,16,103.4,sample_epex_csv,intraday,auction_clearing,GBP,MWh,2026-06-15T12:56:45.818521+00:00,ok,Synthetic EPEX-style sample file; not official EPEX data.
