run_id,service_date,depot_id,timestamp,settlement_date,settlement_period,scheduled_mwh,actual_mwh,deviation_mwh,scheduled_price_gbp_per_mwh,imbalance_price_gbp_per_mwh,scheduled_cost_gbp,actual_energy_cost_gbp,imbalance_spread_cost_gbp,imbalance_exposure_gbp,total_settlement_style_cost_gbp,pricing_method,notes
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-09 20:30:00+01:00,2026-05-09,42,0.11529860000000015,0.0960431026368547,-0.019255497363145455,76.28,61.28,8.794977208000011,7.326167869139277,0.2888324604471818,-1.1799768784135536,7.615000329586458,synthetic_imbalance_spread,Simplified settlement-style exposure; not official settlement.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 00:00:00+01:00,2026-05-10,1,0.375,0.2875327908570422,-0.0874672091429578,57.12,42.12,21.419999999999998,16.42387301375425,1.312008137144367,-3.6841188491013823,17.735881150898617,synthetic_imbalance_spread,Simplified settlement-style exposure; not official settlement.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 00:30:00+01:00,2026-05-10,2,0.375,0.32150813057557526,-0.05349186942442474,43.03,28.03,16.13625,13.834494858667004,0.8023780413663711,-1.4993770999666256,14.636872900033374,synthetic_imbalance_spread,Simplified settlement-style exposure; not official settlement.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 01:00:00+01:00,2026-05-10,3,0.375,,,48.25,48.25,18.09375,,0.0,0.0,18.09375,synthetic_imbalance_spread,Simplified settlement-style exposure; not official settlement.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 01:30:00+01:00,2026-05-10,4,0.375,0.37571954666770385,0.000719546667703852,56.48,81.47999999999999,21.18,21.220639995791913,0.017988666692596297,0.058628662484509854,21.23862866248451,synthetic_imbalance_spread,Simplified settlement-style exposure; not official settlement.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 02:00:00+01:00,2026-05-10,5,0.375,0.274090628296975,-0.100909371703025,68.33,53.33,25.62375,18.7286126315323,1.513640575545375,-5.381496792922323,20.242253207077678,synthetic_imbalance_spread,Simplified settlement-style exposure; not official settlement.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 02:30:00+01:00,2026-05-10,6,0.375,,,38.37,38.37,14.388749999999998,,0.0,0.0,14.388749999999998,synthetic_imbalance_spread,Simplified settlement-style exposure; not official settlement.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 03:00:00+01:00,2026-05-10,7,0.375,,,40.5,40.5,15.1875,,0.0,0.0,15.1875,synthetic_imbalance_spread,Simplified settlement-style exposure; not official settlement.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 03:30:00+01:00,2026-05-10,8,0.375,0.32902855800978503,-0.04597144199021497,54.12,39.12,20.294999999999998,17.807025559489563,0.6895716298532245,-1.7984028106572094,18.49659718934279,synthetic_imbalance_spread,Simplified settlement-style exposure; not official settlement.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 04:00:00+01:00,2026-05-10,9,0.375,0.3355865163473159,-0.0394134836526841,39.64,24.64,14.865,13.302649508007603,0.5912022547902616,-0.9711482372021363,13.893851762797864,synthetic_imbalance_spread,Simplified settlement-style exposure; not official settlement.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 04:30:00+01:00,2026-05-10,10,0.375,0.35399303817562217,-0.021006961824377834,39.6,24.6,14.850000000000001,14.018124311754638,0.3151044273656675,-0.5167712608796947,14.333228739120306,synthetic_imbalance_spread,Simplified settlement-style exposure; not official settlement.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 05:00:00+01:00,2026-05-10,11,0.375,0.37010440951060564,-0.004895590489394364,58.46,43.46,21.9225,21.636303779990005,0.07343385734091545,-0.21276236266907905,21.70973763733092,synthetic_imbalance_spread,Simplified settlement-style exposure; not official settlement.
phase5_trading_reconciliation_sample,2026-05-09,DEPOT_A,2026-05-10 06:00:00+01:00,2026-05-10,13,0.325,,,74.86,74.86,24.3295,,0.0,0.0,24.3295,synthetic_imbalance_spread,Simplified settlement-style exposure; not official settlement.
